"logFC"	"logCPM"	"PValue"	"FDR"
"AB_013716_T.1"	-4.88626005196806	2.35197031003899	1.86205517181158e-16	6.923679745347e-12
"AB_029098_T.1"	-9.50229449040025	2.80020399952577	9.78591073061878e-10	1.65668524014262e-05
"AB_040651_T.1"	-1.91140394598708	7.95149911532223	1.3366473174375e-09	1.65668524014262e-05
"AB_023572_T.1"	12.0183175204155	7.13505962618638	3.21772516055939e-09	2.99111686612699e-05
"AB_023350_T.1"	4.76083759229906	4.67552633772291	1.5603638177331e-08	0.00011603801566954
"AB_010334_T.1"	-2.58583238202579	5.14078892377557	2.17466645298058e-07	0.00123418891177635
"AB_025650_T.1"	8.66390511027182	4.62997001247278	2.32346028626911e-07	0.00123418891177635
"AB_029697_T.1"	4.68387178512028	2.32041564619931	2.93284384464733e-07	0.00136212407573115
"AB_033732_T.1"	11.2405562264383	8.50705671141805	3.34272128788175e-07	0.00136212407573115
"AB_029384_T.1"	5.77144721797647	-0.358694376898038	3.66329794726394e-07	0.00136212407573115
"AB_030413_T.1"	-9.71934812598591	0.458729030807373	6.20152733988707e-07	0.00209628537344565
"AB_041774_T.1"	-3.27385848721747	1.14818301141577	7.15003665209819e-07	0.00221549844029139
"AB_008258_T.1"	3.81927260826337	-0.0177937748142065	9.31715490996577e-07	0.00266492131551736
"AB_015092_T.1"	-2.28700630482929	6.41057232631834	1.26591365373894e-06	0.00336217624192677
"AB_030668_T.1"	7.59342151314374	1.27730222771545	1.4518260530679e-06	0.00359888320874826
"AB_024146_T.1"	3.47934781101457	3.65853588270564	1.87088190169055e-06	0.00434781260940999
"AB_000550_T.1"	3.40528810165376	0.650453434270281	6.6321062137317e-06	0.0139401757485047
"AB_028496_T.1"	-1.80801367379177	4.89844476298477	6.74833024428056e-06	0.0139401757485047
"AB_008062_T.1"	-4.89947312698529	0.107495202894333	9.38702684589284e-06	0.017994104660615
"AB_032114_T.1"	8.05959829997693	1.65409836241749	9.67867286696342e-06	0.017994104660615
"AB_009199_T.1"	-2.26057417933776	3.34395538718426	1.09587745156971e-05	0.0180422261685467
"AB_021959_T.1"	3.02199613504333	0.363029610541634	1.09814270251757e-05	0.0180422261685467
"AB_024145_T.1"	2.66100788471026	2.18788118353737	1.11602399450441e-05	0.0180422261685467
"AB_027681_T.1"	-2.89411658097027	2.40896616403703	1.25725124296851e-05	0.018749512965067
"AB_022144_T.1"	-5.42014097975315	-1.37772417164235	1.31072046180342e-05	0.018749512965067
"AB_036025_T.1"	3.65692767860952	1.99544020501189	1.31104896617202e-05	0.018749512965067
"AB_036607_T.1"	2.33166825949395	3.2147784118465	1.57907007848347e-05	0.0217461343437966
"AB_025627_T.1"	-10.0720578997054	2.97613716613235	1.64583752576295e-05	0.0218561345430157
"AB_040148_T.1"	3.60846053549152	0.0816166743891571	1.90083892230115e-05	0.0243720322923875
"AB_015960_T.1"	-2.92759264288757	2.53011493447862	2.06700983334729e-05	0.0248180419096544
"AB_021957_T.1"	2.58553833072253	0.775108857063951	2.06911572277462e-05	0.0248180419096544
"AB_013360_T.1"	2.2562068323924	4.07096836302029	2.30012386582163e-05	0.0267267205321393
"AB_026979_T.1"	-3.3533094111579	2.15539217595212	2.76887043965537e-05	0.031198457441729
"AB_031446_T.1"	3.00078488890407	2.58188978920587	3.25808746945689e-05	0.0349909230748797
"AB_036969_T.1"	3.20944983691703	1.12744884804791	3.29366190899279e-05	0.0349909230748797
"AB_026831_T.1"	-2.21760578164828	3.02281934706298	3.65759473935122e-05	0.0377778736648045
"AB_037280_T.1"	-7.12138296970285	-1.94262415159521	4.15147297859666e-05	0.0410471325207347
"AB_039768_T.1"	9.0446189217337	6.58827965348439	4.19490368121969e-05	0.0410471325207347
"AB_009910_T.1"	2.52827357855258	3.57358853759654	4.66925716811346e-05	0.0439880343721102
"AB_040445_T.1"	7.78490586944452	1.55522153541345	4.73205866897348e-05	0.0439880343721102
"AB_043178_T.1"	-5.90472411693887	-1.41402598653914	4.9910690520361e-05	0.0452641269663069
"AB_016386_T.1"	3.02822990781096	2.31819184662604	5.36933341764029e-05	0.0461854639415681
"AB_022370_T.1"	5.46531531324374	-0.585857835889903	5.46090979574757e-05	0.0461854639415681
"AB_018011_T.1"	-1.70886518851231	5.28277496181865	5.46529439106311e-05	0.0461854639415681
